"","variable","n.trt","emmean","SE","df","lower.CL","upper.CL",".group","compact"
"1","a400","HN",9.8812514009375,0.412539630042868,11.4,8.97712975660326,10.7853730452717,"A","B"
"2","a400","LN",12.1263950343437,0.412539630042867,11.4,11.2222733900095,13.030516678678,"B","A"
"3","vcmax25","HN",59.3091579731619,2.64590369914038,11.4,53.5103967657398,65.107919180584,"A","B"
"4","vcmax25","LN",67.4698721343307,2.64590369914038,11.4,61.6711109269086,73.2686333417528,"B","A"
"5","jmax25","HN",64.3042207162748,3.01611004006922,8.71929856074367,57.4476759297536,71.1607655027959,"A","B"
"6","jmax25","LN",75.42216392339,3.01611004006922,8.71929856074365,68.5656191368688,82.2787087099112,"B","A"
"7","jmax25.vcmax25","HN",1.05252994115161,0.0204212239383608,7.61654560910936,1.00607883419803,1.10112571635968,"A","B"
"8","jmax25.vcmax25","LN",1.1203701645485,0.0212107387908758,6.97392301028132,1.07128444339781,1.17170496906423,"B","A"
"9","rd25","LN",0.570855152876798,0.0358861894198782,8.46362882024921,0.494497321379668,0.659003783188928,"A","A"
"10","rd25","HN",0.717742724394632,0.0438477612816816,7.65668101764409,0.622739005747218,0.827240005310572,"B","B"
"11","rd25.vcmax25","LN",0.0100394434942316,0.00085100927888448,11.6568798247503,0.00817918222033952,0.0118997047681236,"A","A"
"12","rd25.vcmax25","HN",0.0133963880567853,0.000836241133788887,11.0556027886414,0.0115569624928938,0.0152358136206768,"B","B"
"13","gs","HN",0.1351993855625,0.0119875479705717,11.4000000000001,0.108927481499459,0.161471289625542,"A","B"
"14","gs","LN",0.21777440925,0.0119875479705717,11.4,0.191502505186958,0.244046313313041,"B","A"
"15","ci.ca","HN",0.65722630921996,0.0158790129084271,8.47523343652891,0.620963573375078,0.693489045064843,"A","B"
"16","ci.ca","LN",0.710947239067494,0.0161140831157764,8.90060053745417,0.674432500694909,0.747461977440079,"B","A"
"17","iwue","LN",60.0742083267241,3.61800827082798,8.40199601572329,52.3445676224744,68.9452730245333,"A","A"
"18","iwue","HN",73.7312287514681,4.44051120890847,8.40199601572322,64.2443637089509,84.6190043663534,"B","B"
"19","vcmax.gs","LN",395.68621630617,27.9238981971963,11.4,338.98591397829,461.870465168414,"A","A"
"20","vcmax.gs","HN",537.18805785557,37.9097982748575,11.4,460.21108966174,627.040538537962,"B","B"
"21","sla","LN",5.49813082002508,0.109481720787644,7.73931820169192,5.24417764207483,5.75208399797532,"A","A"
"22","sla","HN",5.72819458658717,0.109481720787644,7.73931820169191,5.47424140863692,5.98214776453742,"A","A"
"23","focal.area","LN",42.02078125,1.34128325245639,8.87001683092618,38.9797963354846,45.0617661645154,"A","A"
"24","focal.area","HN",53.444625,1.34128325245639,8.87001683092618,50.4036400854847,56.4856099145154,"B","B"
"25","focal.biomass","LN",0.076725,0.0033793662999409,7.2830874335664,0.0687966038234537,0.0846533961765463,"A","A"
"26","focal.biomass","HN",0.094659375,0.0033793662999409,7.28308743356641,0.0867309788234537,0.102587771176546,"B","B"
